,popularity,min_height,max_height,min_weight,max_weight,min_expectancy,max_expectancy,grooming_frequency_value,shedding_value,energy_level_value,trainability_value,demeanor_value
Affenpinscher,148,22.86,29.21,3.17514659,4.535923700000001,12.0,15.0,0.6,0.6,0.6,0.8,1.0
Afghan Hound,113,63.5,68.58,22.6796185,27.2155422,12.0,15.0,0.8,0.2,0.8,0.2,0.2
Airedale Terrier,60,58.42,58.42,22.6796185,31.751465900000003,11.0,14.0,0.6,0.4,0.6,1.0,0.8
Akita,47,60.96,71.12,31.751465900000003,58.9670081,10.0,13.0,0.8,0.6,0.8,1.0,0.6
Alaskan Malamute,58,58.42,63.5,34.01942775,38.55535145,10.0,14.0,0.6,0.6,0.8,0.4,0.8
American Bulldog,,50.8,63.5,27.2155422,45.359237,10.0,12.0,0.2,0.6,0.8,0.6,0.6
American English Coonhound,175,58.42,66.04,20.41165665,29.48350405,11.0,12.0,0.2,0.4,0.8,0.6,0.6
American Eskimo Dog,122,22.86,48.26,2.7215542200000002,15.875732950000002,13.0,15.0,0.4,0.6,0.8,1.0,1.0
American Foxhound,186,53.34,63.5,27.2155422,31.751465900000003,11.0,13.0,0.2,0.6,0.8,0.4,0.8
American Hairless Terrier,136,30.48,40.64,5.4431084400000005,7.25747792,14.0,16.0,,,,,
American Leopard Hound,,53.34,68.58,20.41165665,31.751465900000003,12.0,15.0,0.4,0.6,0.8,1.0,0.6
American Staffordshire Terrier,85,43.18,48.26,18.143694800000002,31.751465900000003,12.0,16.0,0.2,0.4,0.6,0.6,0.6
American Water Spaniel,166,38.1,45.72,11.33980925,20.41165665,10.0,14.0,0.6,0.2,0.6,1.0,0.8
Anatolian Shepherd Dog,90,68.58,73.66,36.287389600000004,68.0388555,11.0,13.0,0.4,0.6,0.6,0.4,0.4
Appenzeller Sennenhund,,48.26,55.88,21.772433760000002,31.751465900000003,12.0,15.0,0.4,0.8,1.0,0.2,0.4
Australian Cattle Dog,55,43.18,50.8,15.875732950000002,22.6796185,12.0,16.0,0.2,0.8,1.0,0.2,0.4
Australian Kelpie,,43.18,50.8,,,10.0,13.0,0.4,0.8,0.8,1.0,0.6
Australian Shepherd,17,45.72,58.42,18.143694800000002,29.48350405,12.0,15.0,0.4,0.6,0.8,1.0,0.6
Australian Stumpy Tail Cattle Dog,,43.18,50.8,14.51495584,20.41165665,12.0,15.0,0.4,0.4,0.8,0.8,0.6
Australian Terrier,140,25.4,27.94,6.80388555,9.071847400000001,11.0,15.0,0.4,0.2,0.8,0.6,0.8
Azawakh,,59.69,73.66,14.968548210000002,24.947580350000003,12.0,15.0,0.4,0.4,0.6,0.4,0.8
Barbet,,48.26,62.230000000000004,15.875732950000002,29.48350405,12.0,14.0,0.4,0.2,0.6,0.6,0.8
Basenji,87,40.64,43.18,9.979032140000001,10.886216880000001,13.0,14.0,0.2,0.4,0.8,0.4,0.4
Basset Fauve de Bretagne,,31.75,39.37,12.24699399,15.875732950000002,12.0,12.0,0.4,0.6,0.6,0.2,1.0
Basset Hound,39,38.1,38.1,18.143694800000002,29.48350405,12.0,13.0,0.6,0.4,0.2,0.4,0.8
Bavarian Mountain Scent Hound,,43.18,52.07,16.78291769,29.937096420000003,12.0,15.0,0.4,0.8,0.6,0.6,0.4
Beagle,6,33.02,38.1,5.8967008100000005,13.6077711,10.0,15.0,0.6,0.6,0.8,0.6,0.8
Bearded Collie,127,50.8,55.88,20.41165665,24.947580350000003,12.0,14.0,0.8,0.6,0.6,0.4,1.0
Beauceron,124,60.96,69.85,31.751465900000003,49.895160700000005,10.0,12.0,0.6,1.0,1.0,0.8,0.4
Bedlington Terrier,141,38.1,44.45,7.71107029,10.43262451,11.0,16.0,0.6,,0.8,0.6,0.6
Belgian Laekenois,,55.88,66.04,24.947580350000003,29.48350405,10.0,12.0,0.4,0.8,0.8,0.8,0.4
Belgian Malinois,43,55.88,66.04,18.143694800000002,36.287389600000004,14.0,16.0,0.4,0.6,0.8,0.8,0.4
Belgian Sheepdog,125,55.88,66.04,20.41165665,34.01942775,12.0,14.0,0.6,0.6,0.8,0.8,0.4
Belgian Tervuren,106,55.88,66.04,20.41165665,34.01942775,12.0,14.0,0.6,0.6,0.8,0.8,0.4
Bergamasco Sheepdog,187,55.88,59.69,25.85476509,38.10175908,13.0,15.0,0.2,0.2,0.4,0.6,0.4
Berger Picard,144,54.61,64.77,22.6796185,31.751465900000003,12.0,13.0,0.2,0.6,1.0,0.8,0.6
Bernese Mountain Dog,22,58.42,69.85,31.751465900000003,52.163122550000004,7.0,10.0,0.6,1.0,0.8,0.8,0.4
Bichon Frise,46,24.13,29.21,5.4431084400000005,8.164662660000001,14.0,15.0,1.0,0.2,0.6,0.6,1.0
